season,toss_won_match,win_pct
2008,0.4827586206896552,48.275862068965516
2009,0.5789473684210527,57.89473684210527
2010,0.5166666666666667,51.66666666666667
2011,0.5277777777777778,52.77777777777778
2012,0.44594594594594594,44.5945945945946
2013,0.47368421052631576,47.368421052631575
2014,0.5,50.0
2015,0.49122807017543857,49.122807017543856
2016,0.5666666666666667,56.666666666666664
2017,0.576271186440678,57.6271186440678
2018,0.5333333333333333,53.333333333333336
2019,0.6101694915254238,61.016949152542374
2020,0.4166666666666667,41.66666666666667
2021,0.5833333333333334,58.333333333333336
2022,0.4864864864864865,48.64864864864865
2023,0.4657534246575342,46.57534246575342
2024,0.43661971830985913,43.66197183098591
