venue,avg_score,innings
"Arun Jaitley Stadium, Delhi",190.34375,32
"Eden Gardens, Kolkata",190.15625,32
"M Chinnaswamy Stadium, Bengaluru",190.07142857142858,28
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",185.6,10
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",182.42307692307693,26
M.Chinnaswamy Stadium,179.42857142857142,28
Brabourne Stadium,174.05,20
Punjab Cricket Association IS Bindra Stadium,173.8,20
"Wankhede Stadium, Mumbai",173.1888888888889,90
"Brabourne Stadium, Mumbai",171.2941176470588,34
"Sawai Mansingh Stadium, Jaipur",171.05,20
"Narendra Modi Stadium, Ahmedabad",169.79166666666666,48
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",167.5,10
"Dr DY Patil Sports Academy, Mumbai",164.325,40
Barabati Stadium,162.71428571428572,14
"Punjab Cricket Association IS Bindra Stadium, Mohali",161.13636363636363,22
Himachal Pradesh Cricket Association Stadium,160.94444444444446,18
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",160.34615384615384,26
Holkar Cricket Stadium,159.55555555555554,18
Maharashtra Cricket Association Stadium,159.25,44
Wankhede Stadium,158.15540540540542,148
"Maharashtra Cricket Association Stadium, Pune",158.0,26
"Punjab Cricket Association Stadium, Mohali",156.95714285714286,70
"MA Chidambaram Stadium, Chepauk",155.8877551020408,98
Feroz Shah Kotla,155.635593220339,118
M Chinnaswamy Stadium,155.265625,128
"Zayed Cricket Stadium, Abu Dhabi",154.6875,16
Rajiv Gandhi International Stadium,154.36666666666667,30
Eden Gardens,153.62337662337663,154
Sharjah Cricket Stadium,153.26785714285714,56
"MA Chidambaram Stadium, Chepauk, Chennai",152.86206896551724,58
SuperSport Park,152.20833333333334,24
Sawai Mansingh Stadium,151.74468085106383,94
Saurashtra Cricket Association Stadium,151.5,22
Arun Jaitley Stadium,151.43333333333334,30
"Rajiv Gandhi International Stadium, Uppal",148.88,100
JSCA International Stadium Complex,146.85714285714286,14
St George's Park,145.21428571428572,14
Kingsmead,145.1,30
Shaheed Veer Narayan Singh International Stadium,145.08333333333334,12
"Sardar Patel Stadium, Motera",144.8846153846154,26
Dubai International Cricket Stadium,144.5,100
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,144.07692307692307,26
New Wanderers Stadium,143.25,16
Sheikh Zayed Stadium,142.8548387096774,62
MA Chidambaram Stadium,142.38888888888889,18
Subrata Roy Sahara Stadium,141.5,32
Dr DY Patil Sports Academy,141.47058823529412,34
Nehru Stadium,136.3,10
Newlands,112.3125,16
